date,max_temp,precip
2018-07-01,87,0.0
2018-07-02,92,0.0
2018-07-03,90,-999.0
2018-07-04,87,0.0
2018-07-05,84,0.24
2018-07-06,87,0.0
2018-07-07,96,0.0
2018-07-08,96,0.0
2018-07-09,93,0.0
2018-07-10,97,0.0
2018-07-11,95,0.0
2018-07-12,92,0.05
2018-07-13,88,0.0
2018-07-14,94,0.0
2018-07-15,93,0.45
2018-07-16,85,0.02
2018-07-17,84,-999.0
2018-07-18,94,-999.0
2018-07-19,97,0.0
2018-07-20,94,0.0
2018-07-21,93,0.05
2018-07-22,94,0.11
2018-07-23,78,0.31
2018-07-24,86,0.11
2018-07-25,82,0.03
2018-07-26,81,0.07
2018-07-27,80,0.35
2018-07-28,77,0.01
2018-07-29,75,0.04
2018-07-30,77,0.0
2018-07-31,84,0.0
